istat_code,name,zip,region
068001,Abbateggio,65020,Abruzzo
066001,Acciano,67020,Abruzzo
066002,Aielli,67041,Abruzzo
068002,Alanno,65020,Abruzzo
067001,Alba Adriatica,64011,Abruzzo
066003,Alfedena,67030,Abruzzo
069001,Altino,66040,Abruzzo
067002,Ancarano,64010,Abruzzo
066004,Anversa degli Abruzzi,67030,Abruzzo
069002,Archi,66044,Abruzzo
069003,Ari,66010,Abruzzo
069004,Arielli,66030,Abruzzo
067003,Arsita,64031,Abruzzo
066005,Ateleta,67030,Abruzzo
069005,Atessa,66041,Abruzzo
067004,Atri,64032,Abruzzo
066006,Avezzano,67051,Abruzzo
066007,Balsorano,67052,Abruzzo
066008,Barete,67010,Abruzzo
066009,Barisciano,67021,Abruzzo
066010,Barrea,67030,Abruzzo
067005,Basciano,64030,Abruzzo
067006,Bellante,64020,Abruzzo
066011,Bisegna,67050,Abruzzo
067007,Bisenti,64033,Abruzzo
068003,Bolognano,65020,Abruzzo
069006,Bomba,66042,Abruzzo
069007,Borrello,66040,Abruzzo
068004,Brittoli,65010,Abruzzo
069008,Bucchianico,66011,Abruzzo
066012,Bugnara,67030,Abruzzo
068005,Bussi sul Tirino,65022,Abruzzo
066013,Cagnano Amiterno,67012,Abruzzo
066014,Calascio,67020,Abruzzo
067008,Campli,64012,Abruzzo
066015,Campo di Giove,67030,Abruzzo
066016,Campotosto,67013,Abruzzo
066017,Canistro,67050,Abruzzo
069010,Canosa Sannita,66010,Abruzzo
066018,Cansano,67030,Abruzzo
067009,Canzano,64020,Abruzzo
066019,Capestrano,67022,Abruzzo
066020,Capistrello,67053,Abruzzo
066021,Capitignano,67014,Abruzzo
066022,Caporciano,67020,Abruzzo
066023,Cappadocia,67060,Abruzzo
068006,Cappelle sul Tavo,65010,Abruzzo
068007,Caramanico Terme,65023,Abruzzo
066024,Carapelle Calvisio,67020,Abruzzo
068008,Carpineto della Nora,65010,Abruzzo
069011,Carpineto Sinello,66030,Abruzzo
066025,Carsoli,67061,Abruzzo
069012,Carunchio,66050,Abruzzo
069013,Casacanditella,66010,Abruzzo
069014,Casalanguida,66031,Abruzzo
069015,Casalbordino,66021,Abruzzo
069016,Casalincontrada,66012,Abruzzo
069017,Casoli,66043,Abruzzo
067010,Castel Castagna,64030,Abruzzo
066026,Castel del Monte,67023,Abruzzo
066027,Castel di Ieri,67020,Abruzzo
066028,Castel di Sangro,67031,Abruzzo
069018,Castel Frentano,66032,Abruzzo
069019,Castelguidone,66040,Abruzzo
066029,Castellafiume,67050,Abruzzo
067011,Castellalto,64020,Abruzzo
067012,Castelli,64041,Abruzzo
066030,Castelvecchio Calvisio,67020,Abruzzo
066031,Castelvecchio Subequo,67024,Abruzzo
068009,Castiglione a Casauria,65020,Abruzzo
069020,Castiglione Messer Marino,66033,Abruzzo
067013,Castiglione Messer Raimondo,64034,Abruzzo
067014,Castilenti,64035,Abruzzo
068010,Catignano,65011,Abruzzo
066032,Celano,67043,Abruzzo
069021,Celenza sul Trigno,66050,Abruzzo
